cemetery,firstworldwarcasualties,secondworldwarcasualties,totalcasualties,cemeterycountry,locality
"AMERVAL COMMUNAL CEMETERY EXTENSION, SOLESMES",151,,151,France,Nord
AMESBURY CEMETERY,8,8,32,United Kingdom,Wiltshire
AMHERST (CHRIST CHURCH) CEMETERY,1,,1,Canada,Nova Scotia
AMHERST (ST. CHARLES) CEMETERY,4,6,10,Canada,Nova Scotia
AMHERST (ST. GEORGE'S) ANGLICAN CHURCH,1,,1,Canada,Quebec
AMHERST CEMETERY,6,4,10,Canada,Nova Scotia
AMHERST COVE CHURCH OF ENGLAND CEMETERY,1,,1,Canada,Newfoundland and Labrador
AMHERST ISLAND (GLENWOODS) CEMETERY,1,,1,Canada,Ontario
AMHERST PUBLIC CEMETERY,1,,1,Australia,Victoria
AMHERSTBURG (ROSE HILL) CEMETERY,2,1,3,Canada,Ontario
AMHERSTBURG (ST. JOHN THE BAPTIST) ROMAN CATHOLIC CEMETERY,1,1,2,Canada,Ontario
AMIRAULT HILL (ST. FAMILLE) ROMAN CATHOLIC CEMETERY,1,,1,Canada,Nova Scotia
AMITYVILLE CEMETERY,1,,1,United States of America,New York
AMLWCH CEMETERY,7,6,13,United Kingdom,Anglesey
AMMANFORD (CHRISTIAN TEMPLE) CONGREGATIONAL BURIAL GROUND,1,,1,United Kingdom,Carmarthenshire
AMOTHERBY (ST. HELEN) CHURCHYARD,2,1,3,United Kingdom,Yorkshire
AMPFIELD (ST. MARK) CHURCHYARD,1,1,2,United Kingdom,Hampshire
AMPHITHEATRE PUBLIC CEMETERY,1,1,2,Australia,Victoria
AMPLEFORTH (ST. BENEDICT) ROMAN CATHOLIC CHURCHYARD,2,,2,United Kingdom,Yorkshire
AMPLEFORTH (ST. HILDA) CHURCHYARD,2,,2,United Kingdom,Yorkshire
AMPLIER COMMUNAL CEMETERY,2,,2,France,Pas de Calais
AMPSIN COMMUNAL CEMETERY,1,,1,Belgium,Liege
AMPTHILL (ST. ANDREW) CHURCHYARD,7,5,12,United Kingdom,Bedfordshire
AMPTON (SS. PETER AND PAUL) CHURCHYARD,1,,1,United Kingdom,Suffolk
AMRITSAR CANTONMENT CEMETERY,18,,18,India,
AMROTH (ST. ELIDYR) CHURCHYARD,1,,1,United Kingdom,Pembrokeshire
AMULREE PARISH CHURCHYARD,1,,1,United Kingdom,Perthshire
ANCASTER CEMETERY,1,1,2,United Kingdom,Lincolnshire
"ANCRE BRITISH CEMETERY, BEAUMONT-HAMEL",2543,,2543,France,Somme
ANCROFT (ST. ANNE) CHURCHYARD,1,,1,United Kingdom,Northumberland
ANCRUM PARISH CHURCHYARD,1,1,2,United Kingdom,Roxburghshire
ANDECHY COMMUNAL CEMETERY,1,,1,France,Somme
ANDERTON (ST. JOSEPH) ROMAN CATHOLIC CHURCHYARD,1,3,4,United Kingdom,Lancashire
ANDOVER CEMETERY,37,54,91,United Kingdom,Hampshire
ANGERSLEIGH (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Somerset
ANGLE (ST. MARY) CHURCHYARD,4,8,12,United Kingdom,Pembrokeshire
ANGLE VALE METHODIST CEMETERY,1,,1,Australia,South Australia
ANGLEUR COMMUNAL CEMETERY,1,,1,Belgium,Liege
ANGMERING (ST. MARGARET) CHURCHYARD,2,3,5,United Kingdom,Sussex
ANGRE COMMUNAL CEMETERY,16,,16,Belgium,Hainaut
ANGREAU COMMUNAL CEMETERY,39,,39,Belgium,Hainaut
ANNAGH CEMETERY,1,,1,"Ireland, Republic of",County Kerry
ANNAHILT PRESBYTERIAN CHURCHYARD,3,,3,United Kingdom,County Down
ANNAN CEMETERY,15,33,48,United Kingdom,Dumfriesshire
ANNAN PRESBYTERIAN CEMETERY,2,,2,Canada,Ontario
ANNAPOLIS ROYAL (ST. ALBAN'S) ANGLICAN CEMETERY,3,,3,Canada,Nova Scotia
ANNAPOLIS ROYAL (WOODLAWN) CEMETERY,2,2,4,Canada,Nova Scotia
ANNAPPES CHURCHYARD,1,2,3,France,Nord
ANNAT NEW BURIAL GROUND,5,1,6,United Kingdom,Ross and Cromarty
ANNAYALLA (ST. MICHAEL) CATHOLIC CHURCHYARD,1,,1,"Ireland, Republic of",County Monaghan
ANNEL COMMUNAL CEMETERY,1,,1,France,Oise
ANNEQUIN COMMUNAL CEMETERY,8,1,9,France,Pas de Calais
ANNESLEY AND FELLEY CEMETERY,1,1,2,United Kingdom,Nottinghamshire
ANNEUX BRITISH CEMETERY,1012,,1012,France,Nord
ANNEZIN COMMUNAL CEMETERY,12,5,17,France,Pas de Calais
ANNITSFORD (ST. JOHN) ROMAN CATHOLIC CHURCHYARD,1,1,2,United Kingdom,Northumberland
ANNOEULLIN COMMUNAL CEMETERY AND GERMAN EXTENSION,4,3,7,France,Nord
ANNOIS COMMUNAL CEMETERY,61,,61,France,Aisne
ANOR COMMUNAL CEMETERY,3,,3,France,Nord
ANSE-AUX-GRIFFONS (ST. JOSEPH'S) CEMETERY,2,,2,Canada,Quebec
ANSFORD (ST. ANDREW) CHURCHYARD,1,,1,United Kingdom,Somerset
ANSLEY (ST. LAWRENCE) CHURCHYARD,3,1,4,United Kingdom,Warwickshire
ANSTEY CEMETERY,4,5,9,United Kingdom,Leicestershire
ANSTRUTHER EASTER CHURCHYARD,4,,4,United Kingdom,Fifeshire
ANSTRUTHER WESTER CHURCHYARD,1,,1,United Kingdom,Fifeshire
ANTHEIT COMMUNAL CEMETERY,1,,1,Belgium,Liege
ANTIGONISH (ST. JAMES) PRESBYTERIAN CEMETERY,1,,1,Canada,Nova Scotia
ANTIGONISH (ST. NINIAN'S) ROMAN CATHOLIC CEMETERY,2,1,3,Canada,Nova Scotia
ANTILLY CHURCHYARD,1,,1,France,Moselle
ANTOFAGASTA CEMETERY,1,,1,Chile,
ANTOING COMMUNAL CEMETERY,2,,2,Belgium,Hainaut
ANTONY CEMETERY,20,,20,United Kingdom,Cornwall
ANTRIM (ST. COMGALL'S) ROMAN CATHOLIC CEMETERY,1,,1,United Kingdom,County Antrim
ANTRIM NEW CEMETERY,5,5,10,United Kingdom,County Antrim
ANTROBUS (ST. MARK) CHURCHYARD,1,,1,United Kingdom,Cheshire
ANVAING CHURCHYARD,2,,2,Belgium,Hainaut
ANVIN CHURCHYARD,3,,3,France,Pas de Calais
ANWICK (ST. EDITH) CHURCHYARD,1,,1,United Kingdom,Lincolnshire
"ANZAC CEMETERY, SAILLY-SUR-LA-LYS",321,5,326,France,Pas de Calais
ANZEGEM COMMUNAL CEMETERY,1,18,19,Belgium,West-Vlaanderen
ANZIN-ST. AUBIN BRITISH CEMETERY,358,4,362,France,Pas de Calais
APETHORPE (ST. LEONARD) CHURCHYARD,1,1,2,United Kingdom,Northamptonshire
APPIN (ST. CROSS) EPISCOPALIAN CHURCHYARD,1,,1,United Kingdom,Argyllshire
APPIN OLD CHURCHYARD,3,,3,United Kingdom,Argyllshire
APPLE RIVER CEMETERY,1,,1,Canada,Nova Scotia
APPLEBY (SS. PETER AND PAUL) CATHOLIC CEMETERY,1,,1,New Zealand,Tasman District
APPLEBY (ST. ALBANS) ANGLICAN CHURCHYARD,1,,1,New Zealand,Tasman District
APPLEBY (ST. BARTHOLOMEW) CHURCHYARD,1,,1,United Kingdom,Lincolnshire
APPLEBY CEMETERY,5,2,7,United Kingdom,Westmorland
APPLECROSS PARISH CHURCHYARD,1,2,3,United Kingdom,Ross and Cromarty
APPLEDORE (SS. PETER AND PAUL) CHURCHYARD,3,1,4,United Kingdom,Kent
APPLEDORE (ST. MARY) CHURCHYARD,4,7,11,United Kingdom,Devon
APPLEGARTH PARISH CHURCHYARD EXTENSION,4,,4,United Kingdom,Dumfriesshire
APPLEHILL (ST. ANTHONY'S) CEMETERY,1,,1,Canada,Ontario
APPLETON THORN (ST. CROSS) CHURCHYARD,3,5,16,United Kingdom,Cheshire
APSLEY END (ST. MARY) CHURCHYARD,6,2,8,United Kingdom,Hertfordshire
APULDRAM (ST. MARY) CHURCHYARD,1,3,4,United Kingdom,Sussex
ARARAT GENERAL CEMETERY,3,3,6,Australia,Victoria
ARBORFIELD (ST. BARTHOLOMEW) CHURCHYARD,1,2,3,United Kingdom,Berkshire
ARBORG (ARDAL) LUTHERAN CEMETERY,1,1,2,Canada,Manitoba
ARBROATH EASTERN CEMETERY,19,20,39,United Kingdom,Angus
ARBROATH WESTERN CEMETERY,8,54,62,United Kingdom,Angus
ARCACHON COMMUNAL CEMETERY,1,,1,France,Gironde
ARCHANGEL ALLIED CEMETERY,261,7,268,Russian Federation,
ARCHANGEL MEMORIAL,221,,221,Russian Federation,
ARCIS-LE-PONSART COMMUNAL CEMETERY,3,,3,France,Marne
ARCOLA CEMETERY,1,,1,Canada,Saskatchewan
ARDAGH OLD GRAVEYARD,1,,1,"Ireland, Republic of",County Cork
ARDBRACCAN (ST. ULTAN) CHURCH OF IRELAND CHURCHYARD,1,,1,"Ireland, Republic of",County Meath
ARDCANNY CHURCHYARD,1,,1,"Ireland, Republic of",County Limerick
ARDCARNE (ST. BEO-AEDH'S) OLD GRAVEYARD,1,,1,"Ireland, Republic of",County Roscommon
ARDCATH GRAVEYARD,2,,2,"Ireland, Republic of",County Meath
ARDCRONEY OLD GRAVEYARD,1,,1,"Ireland, Republic of",County Tipperary
ARDEE (ST. MARY) CHURCH OF IRELAND CHURCHYARD,2,,2,"Ireland, Republic of",County Louth
ARDELEY (ST. LAWRENCE) CHURCHYARD,1,,1,United Kingdom,Hertfordshire
ARDERSIER PARISH CHURCHYARD,4,4,8,United Kingdom,Inverness-shire
ARDFERT (ST. BRENDAN) CATHOLIC CHURCHYARD,1,,1,"Ireland, Republic of",County Kerry
ARDGOUR PARISH CHURCHYARD,2,,2,United Kingdom,Argyllshire
ARDINGLY (ST. PETER) CHURCHYARD EXTENSION,1,3,4,United Kingdom,Sussex
ARDINGTON (HOLY TRINITY) CHURCHYARD,2,1,3,United Kingdom,Berkshire
ARDLEIGH CEMETERY,3,3,6,United Kingdom,Essex
ARDLETHAN CEMETERY,1,,1,Australia,New South Wales
ARDMARNOCK HOUSE BURIAL GROUND,1,,1,United Kingdom,Argyllshire
"ARDMICHAEL CEMETERY, SOUTH UIST",1,6,7,United Kingdom,Inverness-shire
ARDMORE (OLD ABBEY) GRAVEYARD,1,,1,"Ireland, Republic of",County Waterford
ARDMORE (ST. PAUL'S) CEMETERY,2,,2,United States of America,Pennsylvania
ARDMORE ROMAN CATHOLIC CEMETERY,3,6,9,United Kingdom,County Londonderry
ARDNAGASHEL PRIVATE BURIAL GROUND,1,,1,"Ireland, Republic of",County Cork
"ARDROIL CEMETERY, ISLE OF LEWIS",7,5,12,United Kingdom,Ross and Cromarty
ARDROSSAN CEMETERY,24,37,61,United Kingdom,Ayrshire
ARDROSSAN FAIRMOUNT CEMETERY,1,,1,Canada,Alberta
ARDSLEY (CHRIST CHURCH) CHURCHYARD,2,,2,United Kingdom,Yorkshire
ARDSTRAW CHURCH OF IRELAND CHURCHYARD,1,1,2,United Kingdom,County Tyrone
ARELEE (MENNONITE) CEMETERY,1,,1,Canada,Saskatchewan
ARELEY KINGS (ST. BARTHOLOMEW) CHURCHYARD,1,1,2,United Kingdom,Worcestershire
ARENDAL HOGEDAL CEMETERY,2,16,18,Norway,
ARGENTAN COMMUNAL CEMETERY,1,,1,France,Orne
ARGOEUVES COMMUNAL CEMETERY,3,,3,France,Somme
ARGYLE (BRANT UNITED CHURCH) CEMETERY,1,,1,Canada,Manitoba
"ARGYLE CEMETERY, MANITOBA",1,,1,Canada,Manitoba
ARGYLE SHORE CEMETERY,1,1,2,Canada,Prince Edward Island
"ARI BURNU CEMETERY, ANZAC",252,,253,Turkey (including Gallipoli),
ARKENDALE CHURCH CEMETERY,1,,1,United Kingdom,Yorkshire
ARKENGARTHDALE (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Yorkshire
ARKLOW CEMETERY,7,4,11,"Ireland, Republic of",County Wicklow
ARKONA CEMETERY,1,2,3,Canada,Ontario
ARLECDON (ST. MICHAEL) CHURCHYARD,3,2,5,United Kingdom,Cumberland
ARLESEY (ST. PETER) CHURCHYARD,9,6,15,United Kingdom,Bedfordshire
ARLEUX-DU-NORD COMMUNAL CEMETERY,3,,3,France,Nord
ARLINGTON NATIONAL CEMETERY,12,20,32,United States of America,Virginia
ARLINGTON ST. PAUL'S CEMETERY,1,,1,United States of America,Massachusetts
ARLON COMMUNAL CEMETERY,1,1,2,Belgium,Luxembourg
ARMAGH (ST. MARK) CHURCH OF IRELAND CHURCHYARD,7,5,12,United Kingdom,County Armagh
ARMAGH (ST. PATRICK'S) ROMAN CATHOLIC CEMETERY,9,4,13,United Kingdom,County Armagh
ARMAGH PRESBYTERIAN CEMETERY,1,,1,United Kingdom,County Armagh
ARMIDALE GENERAL CEMETERY,10,9,19,Australia,New South Wales
ARMITAGE (ST. JOHN THE BAPTIST) CHURCHYARD,3,2,5,United Kingdom,Staffordshire
ARMITAGE BRIDGE (ST. PAUL) CHURCHYARD,2,1,3,United Kingdom,Yorkshire
ARMLEY (ST. BARTHOLOMEW) CHURCHYARD,3,,3,United Kingdom,Yorkshire
ARMSTRONG CEMETERY,1,2,3,Canada,British Columbia
ARNABOLL BURIAL GROUND,1,,1,United Kingdom,Sutherland
ARNAVILLE CHURCHYARD,2,,2,France,Meurthe-et-Moselle
ARNEKE BRITISH CEMETERY,566,5,571,France,Nord
ARNEKE CHURCHYARD,2,,2,France,Nord
ARNGASK NEW CEMETERY,1,1,2,United Kingdom,Perthshire
ARNGASK PARISH CHURCHYARD,1,1,2,United Kingdom,Perthshire
ARNISDALE CEMETERY,1,,1,United Kingdom,Inverness-shire
ARNOLD CEMETERY,19,63,82,United Kingdom,Nottinghamshire
ARNPRIOR PROTESTANT CEMETERY,3,5,8,Canada,Ontario
ARNSIDE CEMETERY,4,1,5,United Kingdom,Westmorland
AROGYAVARAM POTHAPOLE UNION MISSION SANATORIUM,1,,1,India,
ARQUATA SCRIVIA COMMUNAL CEMETERY EXTENSION,94,,94,Italy,
ARQUES-LA-BATAILLE BRITISH CEMETERY,377,,377,France,Seine-Maritime
ARRAS FLYING SERVICES MEMORIAL,989,,989,France,Pas de Calais
ARRAS MEMORIAL,34763,,34763,France,Pas de Calais
"ARRAS ROAD CEMETERY, ROCLINCOURT",1062,,1062,France,Pas de Calais
ARROCHAR PARISH CHURCHYARD,2,,2,United Kingdom,Dunbartonshire
ARROW (HOLY TRINITY) CHURCHYARD,1,,1,United Kingdom,Warwickshire
ARROWHEAD CEMETERY,1,,1,Canada,British Columbia
ARRY COMMUNAL CEMETERY,1,,1,France,Somme
ARS-SUR-MOSELLE CHURCHYARD,1,,1,France,Moselle
ARTEMPS COMMUNAL CEMETERY,1,,1,France,Aisne
ARTHUR (GREENFIELD) CEMETERY,2,,2,Canada,Ontario
ARTHUR ST. JOHN THE EVANGELIST ROMAN CATHOLIC CEMETERY,1,,1,Canada,Ontario
ARTHURET (ST. MICHAEL) CHURCHYARD,9,2,12,United Kingdom,Cumberland
"ARTHURETTE CEMETERY, VICTORIA COUNTY",1,,1,Canada,New Brunswick
ARTILLERY WOOD CEMETERY,1307,,1307,Belgium,West-Vlaanderen
ARTOLSHEIM COMMUNAL CEMETERY,1,7,8,France,Bas-Rhin
ARTRES COMMUNAL CEMETERY,6,,6,France,Nord
ARUNDEL (ANGLICAN) CEMETERY,1,,1,Canada,Quebec
ARUNDEL (METHODIST) CEMETERY,1,3,4,Canada,Quebec
ARUNDEL CEMETERY,7,4,11,United Kingdom,Sussex
ARUNDEL ROMAN CATHOLIC CEMETERY,2,2,4,United Kingdom,Sussex
ARVA (ST. JOHN'S) ANGLICAN CEMETERY,1,,1,Canada,Ontario
ARZEW COMMUNAL CEMETERY,1,,1,Algeria,
ASBURY FIRST PRESBYTERIAN CHURCH CEMETERY,1,,1,United States of America,New Jersey
ASCENSION ISLAND NEW CEMETERY,6,1,7,St. Helena and Ascension Island,
ASCOT (ALL SAINTS) CHURCHYARD EXTENSION,7,6,13,United Kingdom,Berkshire
ASCQ COMMUNAL CEMETERY,55,3,58,France,Nord
ASFORDBY (ALL SAINTS) CHURCHYARD,1,,1,United Kingdom,Leicestershire
ASH (CHRIST CHURCH) CHURCHYARD,1,5,6,United Kingdom,Shropshire
ASH (SS. PETER AND PAUL) CHURCHYARD,1,,1,United Kingdom,Kent
ASH CEMETERY,11,9,20,United Kingdom,Surrey
ASH PRIORS (HOLY TRINITY) CHURCHYARD,1,1,2,United Kingdom,Somerset
"ASHAIG CEMETERY, ISLE OF SKYE",2,18,20,United Kingdom,Inverness-shire
ASHAMPSTEAD (ST. CLEMENT ROMANUS) CHURCHYARD,1,1,2,United Kingdom,Berkshire
ASHBOURNE (ST. OSWALD) CHURCHYARD,2,1,3,United Kingdom,Derbyshire
ASHBOURNE CEMETERY,6,17,23,United Kingdom,Derbyshire
ASHBRITTLE (ST. JOHN THE BAPTIST) CHURCHYARD,2,,2,United Kingdom,Somerset
ASHBURTON (ST. ANDREW) CHURCHYARD EXTENSION,8,6,14,United Kingdom,Devon
ASHBURTON CEMETERY,11,10,21,New Zealand,Ashburton District
"ASHBURTON ROMAN CATHOLIC CEMETERY, GOSFORTH",13,2,15,United Kingdom,Northumberland
ASHBY-DE-LA-ZOUCH CEMETERY,3,5,8,United Kingdom,Leicestershire
ASHCHURCH (ST. NICHOLAS) CHURCHYARD,1,,1,United Kingdom,Gloucestershire
ASHCOMBE (ST. NECTAN) CHURCHYARD,1,,1,United Kingdom,Devon
ASHCOTT (ALL SAINTS) CHURCHYARD,1,,1,United Kingdom,Somerset
ASHCROFT PROTESTANT CEMETERY,1,,1,Canada,British Columbia
ASHDON CEMETERY,2,,2,United Kingdom,Essex
ASHE (HOLY TRINITY AND ST. ANDREW) CHURCHYARD,1,,1,United Kingdom,Hampshire
ASHFIELD CHURCH OF IRELAND CHURCHYARD,1,,1,"Ireland, Republic of",County Cavan
ASHFORD (HOLY TRINITY) CHURCHYARD,1,,1,United Kingdom,Derbyshire
ASHFORD BOWDLER (ST. ANDREW) CHURCHYARD,1,,1,United Kingdom,Shropshire
ASHFORD BURIAL GROUND,9,14,23,United Kingdom,Middlesex
ASHFORD CARBONELL (ST. MARY MAGDALENE) CHURCHYARD,2,,2,United Kingdom,Shropshire
"ASHFORD CEMETERY, KENT",39,5,44,United Kingdom,Kent
ASHFORD HILL (ST. PAUL) CHURCHYARD,1,,1,United Kingdom,Hampshire
ASHILL (ST. NICHOLAS) CHURCHYARD,1,1,2,United Kingdom,Norfolk
ASHINGTON (HOLY SEPULCHRE) CHURCHYARD,7,14,21,United Kingdom,Northumberland
ASHINGTON (ST. AIDAN'S) ROMAN CATHOLIC CEMETERY,5,7,12,United Kingdom,Northumberland
ASHKIRK PARISH CHURCHYARD,1,,1,United Kingdom,Selkirkshire
ASHLEWORTH NEW BURIAL GROUND,2,,2,United Kingdom,Gloucestershire
ASHLEY (ST. MARY) CHURCHYARD,2,,2,United Kingdom,Cambridgeshire
ASHLEY BAPTIST CEMETERY,1,2,3,United Kingdom,Hampshire
ASHLEY GREEN (ST. JOHN) CHURCHYARD,2,,2,United Kingdom,Buckinghamshire
"ASHMANHAUGH (ST. SWITHIN) CHURCHYARD, SMALLBURGH",1,,1,United Kingdom,Norfolk
ASHOVER CEMETERY,1,4,5,United Kingdom,Derbyshire
ASHTEAD (ST. GILES) CHURCHYARD,4,12,16,United Kingdom,Surrey
ASHTON (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Northamptonshire
ASHTON KEYNES (HOLY CROSS) CHURCHYARD,2,,2,United Kingdom,Wiltshire
ASHTON-IN-MAKERFIELD (HOLY TRINITY) CHURCHYARD,5,5,10,United Kingdom,Lancashire
ASHTON-IN-MAKERFIELD (ST. OSWALD) ROMAN CATHOLIC CHURCHYARD,6,,6,United Kingdom,Lancashire
ASHTON-IN-MAKERFIELD (ST. THOMAS) CHURCHYARD,9,3,12,United Kingdom,Lancashire
"ASHTON-IN-MAKERFIELD (ST. THOMAS) CHURCHYARD, HEATH ROAD EXTENSION",10,4,14,United Kingdom,Lancashire
ASHTON-ON-RIBBLE (ST. ANDREW) CHURCHYARD,1,2,3,United Kingdom,Lancashire
ASHTON-UNDER-HILL (ST. BARBARA) CHURCHYARD,1,1,2,United Kingdom,Worcestershire
ASHTON-UNDER-LYNE (CHRIST CHURCH) CHURCHYARD,6,,6,United Kingdom,Lancashire
ASHTON-UNDER-LYNE (HURST) CEMETERY,38,42,80,United Kingdom,Lancashire
ASHTON-UNDER-LYNE (ST. PETER) CHURCHYARD,1,,1,United Kingdom,Lancashire
ASHTON-UPON-MERSEY (ST. MARTIN) CHURCHYARD,8,8,16,United Kingdom,Cheshire
ASHWELL (ST. MARY) CHURCHYARD,3,,3,United Kingdom,Hertfordshire
ASHWELL UNITED REFORMED CHURCH,1,,1,United Kingdom,Hertfordshire
ASKER CEMETERY,1,,1,Canada,Alberta
ASKERSWELL (ST. MICHAEL) CHURCHYARD,1,1,2,United Kingdom,Dorset
ASKRIGG (ST. OSWALD) CHURCHYARD,2,,2,United Kingdom,Yorkshire
"ASLACTON (ST. MICHAEL) CHURCHYARD, DEPWADE",1,,1,United Kingdom,Norfolk
ASNIERES-SUR-OISE COMMUNAL CEMETERY,2,2,5,France,Val d'Oise
ASPATRIA (ST. KENTIGERN) CHURCHYARD,3,6,9,United Kingdom,Cumberland
ASPLEY GUISE (ST. BOTOLPH) CHURCHYARD EXTENSION,3,,3,United Kingdom,Bedfordshire
ASPULL (ST. ELIZABETH OF HUNGARY) CHURCHYARD,3,3,6,United Kingdom,Lancashire
ASQUILLIES COMMUNAL CEMETERY,1,,1,Belgium,Hainaut
ASSEVENT FRENCH NATIONAL CEMETERY,7,,7,France,Nord
ASSEVILLERS NEW BRITISH CEMETERY,815,,815,France,Somme
ASSINGTON (ST. EDMUND) CHURCHYARD,1,,1,United Kingdom,Suffolk
ASSINIBOIA (MOUNT HOPE) CEMETERY,1,20,21,Canada,Saskatchewan
ASTBURY (ST. MARY) CHURCHYARD,15,1,16,United Kingdom,Cheshire
"ASTLEY (ST. MARY) CHURCHYARD, SHROPSHIRE",1,,1,United Kingdom,Shropshire
"ASTLEY (ST. MARY) CHURCHYARD, WARWICKSHIRE",1,1,2,United Kingdom,Warwickshire
ASTLEY BRIDGE (ST. PAUL) CHURCHYARD,1,,1,United Kingdom,Lancashire
ASTON (SS. PETER AND PAUL) CHURCHYARD,28,2,30,United Kingdom,Warwickshire
ASTON (ST. JAMES THE GREAT) CHURCHYARD,1,,1,United Kingdom,Oxfordshire
ASTON (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Hertfordshire
ASTON ABBOTTS (ST. JAMES) CHURCHYARD,1,1,2,United Kingdom,Buckinghamshire
ASTON CANTLOW (ST. JOHN THE BAPTIST) CHURCHYARD,1,,1,United Kingdom,Warwickshire
ASTON CLINTON (ST. MICHAEL) CHURCHYARD,3,1,4,United Kingdom,Buckinghamshire
ASTON UPTHORPE (ALL SAINTS) CHURCHYARD,1,,1,United Kingdom,Berkshire
"ASTON-BY-SUTTON (ST. PETER) CHURCHYARD, ASTON",2,,2,United Kingdom,Cheshire
ASTON-CUM-AUGHTON CEMETERY,5,7,12,United Kingdom,Yorkshire
ASTON-UPON-TRENT CEMETERY,3,,3,United Kingdom,Derbyshire
ASWAN BANDAR BRITISH CEMETERY,1,23,312,Egypt,
ATH COMMUNAL CEMETERY,38,,38,Belgium,Hainaut
ATHABASCA PROTESTANT CEMETERY,1,,1,Canada,Alberta
ATHELSTAN CEMETERY,1,,1,Canada,Quebec
ATHELSTANEFORD PARISH CHURCHYARD,3,,3,United Kingdom,East Lothian
ATHENS (SHORT CREEK) CHURCH CEMETERY,1,,1,United States of America,Tennessee
ATHENS NEW PROTESTANT CEMETERY,2,1,7,Greece,
ATHERSTONE CEMETERY,7,9,16,United Kingdom,Warwickshire
ATHERTON CEMETERY,32,25,57,United Kingdom,Lancashire
ATHERTON OLD CEMETERY,3,,3,Australia,Queensland
ATHIES COMMUNAL CEMETERY,1,,1,France,Pas de Calais
ATHIES COMMUNAL CEMETERY EXTENSION,315,42,357,France,Pas de Calais
ATHIS-MONS COMMUNAL CEMETERY,6,,6,France,Essonne
ATHLUMNEY OLD GRAVEYARD,1,,1,"Ireland, Republic of",County Meath
ATHNOWEN (ST. MARY) CHURCH OF IRELAND CHURCHYARD,1,1,2,"Ireland, Republic of",County Cork
ATHOL CEMETERY,2,,2,New Zealand,Southland District
ATHY (ST. JOHN'S) OLD CEMETERY,1,,1,"Ireland, Republic of",County Kildare
ATHY (ST. MICHAEL'S) CEMETERY,6,,6,"Ireland, Republic of",County Kildare
ATTENBOROUGH (ST. MARY) CHURCHYARD,4,,4,United Kingdom,Nottinghamshire
ATTLEBOROUGH CEMETERY,10,,10,United Kingdom,Norfolk
ATWICK (ST. LAURENCE) CHURCHYARD,1,,1,United Kingdom,Yorkshire
ATWORTH (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Wiltshire
ATWORTH CONGREGATIONAL CHAPELYARD,1,,1,United Kingdom,Wiltshire
AUBENCHEUL-AU-BAC CHURCHYARD,2,,2,France,Nord
AUBERCHICOURT BRITISH CEMETERY,288,,288,France,Nord
"AUBERS RIDGE BRITISH CEMETERY, AUBERS",719,3,722,France,Nord
AUBIGNY BRITISH CEMETERY,95,,95,France,Somme
AUBIGNY COMMUNAL CEMETERY EXTENSION,3060,7,3067,France,Pas de Calais
AUBIGNY ROMAN CATHOLIC CEMETERY,1,,1,Canada,Manitoba
AUBIGNY-AU-BAC COMMUNAL CEMETERY,5,,5,France,Nord
AUBIN-ST. VAAST CHURCHYARD,1,,1,France,Pas de Calais
AUBURN (HILLSIDE) CEMETERY,1,,1,United States of America,Massachusetts
AUBY COMMUNAL CEMETERY,2,,2,France,Nord
AUCHEL COMMUNAL CEMETERY,4,,4,France,Pas de Calais
AUCHENCAIRN CEMETERY,1,1,2,United Kingdom,Kirkcudbrightshire
AUCHINDOIR PARISH CHURCHYARD,3,3,6,United Kingdom,Aberdeenshire
AUCHINLECK PARISH CHURCHYARD,9,4,13,United Kingdom,Ayrshire
AUCHNESS BURIAL GROUND,1,,1,United Kingdom,Sutherland
AUCHONVILLERS COMMUNAL CEMETERY,15,,15,France,Somme
AUCHONVILLERS MILITARY CEMETERY,528,,528,France,Somme
AUCHTERARDER CEMETERY,4,5,9,United Kingdom,Perthshire
AUCHTERDERRAN PARISH CHURCHYARD,1,,1,United Kingdom,Fifeshire
AUCHTERGAVEN PARISH CHURCHYARD,3,4,7,United Kingdom,Perthshire
AUCHTHERAW ROMAN CATHOLIC BURIAL GROUND,1,,1,United Kingdom,Inverness-shire
AUCHY CHURCHYARD,8,,8,France,Nord
AUCHY-LES-HESDIN COMMUNAL CEMETERY,5,,5,France,Pas de Calais
AUCKLAND (ST. ANDREW) NEW CHURCHYARD,8,1,9,United Kingdom,Durham
AUCKLAND (ST. ANDREW) OLD CHURCHYARD,1,1,2,United Kingdom,Durham
AUCKLAND (WAIKUMETE) CEMETERY,110,176,287,New Zealand,Waitakere City
AUCKLAND PROVINCIAL MEMORIAL,40,16,56,New Zealand,Waitakere City
AUDENSHAW (ST. STEPHEN) CHURCHYARD,2,1,3,United Kingdom,Lancashire
AUDENSHAW CEMETERY,18,14,32,United Kingdom,Lancashire
AUDLEM CEMETERY,8,1,9,United Kingdom,Cheshire
AUDLEY (ST. JAMES) CHURCHYARD,4,6,10,United Kingdom,Staffordshire
AUDREGNIES COMMUNAL CEMETERY,41,,41,Belgium,Hainaut
AUDREHEM CHURCHYARD,1,,1,France,Pas de Calais
AUDRUICQ CHURCHYARD AND EXTENSION,1,7,8,France,Pas de Calais
